Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Obertauern,Avstrija,1630,2313,100,4,61,26,69.50
Kronplatz (Plan de Corones),Italija,973,2275,121,29,58,31,80
Ischgl/Samnaun – Silvretta Arena,Avstrija,1360,2872,239,52,47,46,79
Arosa Lenzerheide,Švica,1229,2865,225,28,110,43,95
Spieljoch – Fügen,Avstrija,610,2054,17.1,2.7,3.6,11,77
Steinplatte-Winklmoosalm – Waidring/Reit im Winkl,Avstrija,740,1860,42,2,20,14,60
Biberwier – Marienberg,Avstrija,1000,1820,11,0,7.3,5,68
Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Avstrija,630,2500,142,32,44,61,79
KitzSki – Kitzbühel/Kirchberg,Avstrija,800,2000,188,20,102,58,79.50
Zettersfeld – Lienz,Avstrija,1660,2278,21,1.6,7.9,6,67
Großglockner Resort Kals-Matrei,Avstrija,933,2426,40,6,8.5,12,Ni podatka
Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Avstrija,580,2500,150.1,12,50,52,79
Nauders am Reschenpass – Bergkastel,Avstrija,1400,2750,75,14,25,11,65
Wildkogel – Neukirchen/Bramberg,Avstrija,820,2150,75,10,35,20,67
Silvretta Montafon,Avstrija,700,2430,141.6,31.6,60,35,77
Pfelders (Moos in Passeier),Italija,1601,2502,18,4,5,4,51
St. Jakob im Defereggental – Brunnalm,Avstrija,1400,2683,23.7,6.2,5,7,Ni podatka
Stubai Glacier (Stubaier Gletscher),Avstrija,1697,3212,65.3,2.8,37.9,26,69.80
Hochkönig – Maria Alm/Dienten/Mühlbach,Avstrija,800,1900,120,27,52,34,76.50
Val Gardena (Gröden),Italija,1236,2518,181,21,52,79,77
Latemar – Obereggen/Pampeago/Predazzo,Italija,1540,2388,49,6.9,9.3,18,69
Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,Italija,852,2504,155,33,50,58,79
Lermoos – Grubigstein,Avstrija,1004,2100,26.5,1.9,14.4,8,68
Schmittenhöhe – Zell am See,Avstrija,760,2000,77,19,30,27,79
Ski Juwel Alpbachtal Wildschönau,Avstrija,830,2030,96.7,12.7,31.1,45,68.50
Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm),Italija,1300,2100,28.1,0.9,5.6,7,67
Belpiano (Schöneben)/Malga San Valentino (Haideralm),Italija,1460,2390,65,6,29,10,67
Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,Švica,1845,2869,104,12,42,35,70
SkiWelt Wilder Kaiser-Brixental,Avstrija,620,1869,275,39,115,81,76
Carezza,Italija,1182,2337,40,4.8,19,13,68
Kleine Scheidegg/Männlichen – Grindelwald/Wengen,Švica,944,2400,102,13,33,23,84
Hochoetz – Oetz,Avstrija,1410,2272,37.5,4,12,15,55
Sillian – Thurntaler (Hochpustertal),Avstrija,1100,2407,22.4,1,5.3,7,Ni podatka
Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Avstrija,600,2378,85.6,14.6,29.7,38,80
Tauplitz – Bad Mitterndorf,Avstrija,896,1965,43.5,6,18.5,17,56
Damüls Mellau,Avstrija,710,2050,80.8,1.9,29.9,21,70
Gitschberg Jochtal,Italija,1307,2510,55,9.3,18.5,14,70
Monte Bondone,Italija,1189,2090,18.8,0,4.8,4,52
Turracher Höhe,Avstrija,1400,2205,42.7,3.2,14.5,15,65
Bellwald,Švica,1600,2558,20,1.7,10.5,5,Ni podatka
Ehrwalder Wettersteinbahnen – Ehrwald,Avstrija,1000,1530,21,3,15,6,49
Scuol – Motta Naluns,Švica,1250,2785,70,11,27,12,73
Glungezer – Tulfes,Avstrija,950,2304,23,1,6.5,6,48
Sonnenkopf – Klösterle,Avstrija,1000,2300,29.5,0.8,12.8,9,55
Schlick 2000 – Fulpmes,Avstrija,1009,2240,25,3.5,13.5,9,56
Folgaria/Fiorentini,Italija,1238,1824,70,4,37.5,26,58
Flumserberg,Švica,665,2222,65,11,14,17,76
Axamer Lizum,Avstrija,1560,2340,40.7,17.6,7.2,9,59.50
Wildhaus – Gamserrugg (Toggenburg),Švica,1020,2076,23,3,3,6,65
Kitzsteinhorn/Maiskogel – Kaprun,Avstrija,768,3029,61,9,29,24,79
Hohsaas – Saas-Grund,Švica,1559,3200,26.1,2.1,4.4,8,66
Moelltal Glacier (Mölltaler Gletscher),Avstrija,2108,3122,36,9.5,6.5,9,66
Ofterschwang/Gunzesried – Ofterschwanger Horn,Nemčija,880,1405,16.5,2.7,4.6,7,53
San Martino di Castrozza,Italija,1404,2357,60,12,16,21,67
Dorfgastein/Großarltal,Avstrija,849,2033,67.5,1.5,31,16,77
Paganella – Andalo,Italija,1040,2125,40,2,11,15,71
Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale),Italija,1121,3000,100,16,24,30,62
First – Grindelwald,Švica,1050,2500,49,8,30,10,84
Pejo 3000,Italija,1400,3000,20,2.2,5,7,55
Berwang/Bichlbach/Rinnen,Avstrija,1079,1743,34,1.6,17.2,12,68
Loser – Altaussee,Avstrija,850,1800,34,1,21,8,56
Pizol – Bad Ragaz/Wangs,Švica,509,2250,43.1,6,18.5,12,71
Ramsau am Dachstein – Rittisberg,Avstrija,1035,1636,12.9,1,7.7,8,51
Elm im Sernftal,Švica,1020,2105,40,5,15,5,56
Serfaus-Fiss-Ladis,Avstrija,1200,2828,186,27,47,38,74
St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,Avstrija,1304,2811,299.7,49.7,130,85,78
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Avstrija,830,2096,270,18,140,70,79
St. Moritz – Corviglia,Švica,1772,3057,155,34,42,23,Ni podatka
Tignes/Val d'Isère,Francija,1550,3456,300,60,165,78,71
Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,Francija,1100,3230,600,60,336,156,79
Sölden,Avstrija,1350,3340,143.4,30.1,72.4,31,79
Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),Avstrija,728,2015,123,8.3,46.4,47,76.50
Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,Švica,1562,3899,322,27,75,51,109
Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Avstrija,740,1980,120.1,4,34,45,79
Laax/Flims/Falera,Švica,1100,3018,224,51,97,30,115
Gurgl – Obergurgl-Hochgurgl,Avstrija,1793,3030,112.2,18.8,60.2,25,73
Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Avstrija,860,2300,82.7,2.6,30.8,17,76.50
Nassfeld – Hermagor,Avstrija,600,2002,110,11,30,29,67
Livigno,Italija,1816,2798,115,20,32,31,66.50
Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,Švica,1260,2200,86,6,46,22,Ni podatka
Andermatt/Oberalp/Sedrun,Švica,1444,2600,70,12,18,13,95
La Plagne (Paradiski),Francija,1207,3167,225,27,139,74,68
Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,Francija,1200,2800,250,32.5,137.5,59,65.50
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Švica,1350,3330,412,103,107,68,95
Alpe di Siusi (Seiser Alm),Italija,1227,2220,63,3,15,21,77
Klausberg – Skiworld Ahrntal,Italija,1050,2510,40.5,6.8,19.4,11,69.50
Espace San Bernardo – La Rosière/La Thuile,Francija,1190,2800,143.1,16.6,56,38,57
3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass,Italija,1130,2200,86.4,8.4,40.4,20,Ni podatka
Titlis – Engelberg,Švica,1003,3020,70,9.5,18,17,Ni podatka
Katschberg,Avstrija,1066,2220,80,12,12,17,69.50
Les 2 Alpes,Francija,1280,3523,200,34,110,44,63
Alta Badia,Italija,1324,2778,130,9,74,53,77
Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,Švica,985,2254,580,60,310,164,70
Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa,Italija,1320,2485,55.2,7.2,7.3,35,73
Passo San Pellegrino/Falcade,Italija,1190,2513,67.5,8.5,20.5,15,69
Parsenn (Davos Klosters),Švica,810,2844,95.5,17.7,17.3,18,89
Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,Italija,1538,2789,400,84,96,70,63
Kreischberg,Avstrija,868,2118,42.5,9,17.5,12,65
Obersaxen/Mundaun/Val Lumnezia,Švica,1201,2310,120,20,60,15,71
